#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
265,Barcelona,,Moussa Wagué,0,0,2,2,0,7.00,7.00
266,Barcelona,,Samuel Umtiti,0,1,1,1,0,7.00,7.00
267,Borussia Dortmund,,Mats Hummels,0,1,1,3,0,7.00,7.00
268,Barcelona,,Marc-André ter Stegen,0,0,0,0,0,6.99,6.99
269,Liverpool,,Fabinho,0,0,4,6,0,6.99,6.99
270,Liverpool,,Jordan Henderson,0,0,1,6,0,6.98,6.98
271,FC Bayern München,,Niklas Süle,0,0,0,1,0,6.98,6.98
272,Atlético Madrid,,José María Giménez,0,1,0,7,0,6.98,6.98
273,Juventus,,Adrien Rabiot,0,0,6,2,0,6.98,6.98
274,Paris Saint-Germain,,Idrissa Gueye,0,0,3,3,0,6.97,6.97
275,Barcelona,,Nélson Semedo,0,1,18,4,0,6.97,6.97
276,Atalanta,,José Luis Palomino,0,0,2,1,0,6.97,6.97
277,Manchester City,,Nicolás Otamendi,0,0,0,5,0,6.97,6.97
278,Borussia Dortmund,,Mario Götze,0,0,0,2,0,6.97,6.97
279,Olympiacos FC,,Giorgos Masouras,0,1,4,10,0,6.97,6.97
280,Atlético Madrid,,Koke,0,0,7,1,0,6.97,6.97
281,RB Leipzig,,Ethan Ampadu,0,0,0,0,0,6.97,6.97
282,Borussia Dortmund,,Thomas Delaney,0,0,2,0,0,6.97,6.97
283,Inter,,Milan Škriniar,0,0,2,1,0,6.97,6.97
284,Bayer 04 Leverkusen,,Jonathan Tah,0,0,0,1,0,6.96,6.96
285,Benfica,,Gabriel Pires,0,2,7,8,0,6.96,6.96
286,Olympique Lyonnais,,Youssouf Koné,0,0,14,6,0,6.96,6.96
287,Chelsea,,Kurt Zouma,0,0,5,3,0,6.96,6.96
288,RB Leipzig,,Nordi Mukiele,0,0,9,10,0,6.96,6.96
289,FC Bayern München,,Álvaro Odriozola,0,0,2,0,0,6.95,6.95
290,Manchester City,,Benjamin Mendy,0,0,3,3,0,6.95,6.95
291,Chelsea,,N'Golo Kanté,0,0,9,4,0,6.95,6.95
292,Benfica,,Odysseas Vlachodimos,0,0,0,0,0,6.95,6.95
293,Napoli,,Konstantinos Manolas,0,0,0,4,0,6.95,6.95
294,FK Crvena zvezda,,Milan Borjan,0,0,0,0,0,6.95,6.95
295,Atlético Madrid,,Jan Oblak,0,0,0,0,0,6.94,6.94
296,Olympique Lyonnais,,Marcelo,0,0,1,6,0,6.94,6.94
297,FC Bayern München,,Javi Martínez,0,0,0,4,0,6.94,6.94
298,AFC Ajax,,Sergiño Dest,0,0,4,3,0,6.94,6.94
299,AFC Ajax,,Noa Lang,0,0,2,2,0,6.93,6.93
300,Tottenham Hotspur,,Juan Foyth,0,0,5,0,0,6.93,6.93
301,Real Madrid,,Thibaut Courtois,0,0,0,0,0,6.93,6.93
302,RB Leipzig,,Marcel Halstenberg,0,1,1,4,0,6.93,6.93
303,Barcelona,,Frenkie de Jong,0,0,20,1,0,6.92,6.92
304,Paris Saint-Germain,,Ander Herrera,0,0,6,2,0,6.92,6.92
305,Lille,,Boubakary Soumaré,0,0,18,2,0,6.92,6.92
306,Liverpool,,James Milner,0,0,6,4,0,6.91,6.91
307,Manchester City,,Fernandinho,0,0,1,2,0,6.91,6.91
308,Lille,,Jonathan Bamba,0,1,7,8,0,6.90,6.90
309,Manchester City,,John Stones,0,0,0,1,0,6.90,6.90
310,Napoli,,Stanislav Lobotka,0,0,0,0,0,6.90,6.90
311,Paris Saint-Germain,,Colin Dagba,0,1,0,1,0,6.90,6.90
312,Benfica,,Andreas Samaris,0,0,0,1,0,6.90,6.90
313,Juventus,,Mattia De Sciglio,0,0,4,0,0,6.90,6.90
314,Club Brugge KV,,Brandon Mechele,0,0,4,2,0,6.90,6.90
315,Juventus,,Wojciech Szczęsny,0,0,0,0,0,6.90,6.90
316,Borussia Dortmund,,Axel Witsel,0,0,10,5,0,6.90,6.90
317,Real Madrid,,Daniel Carvajal,0,0,6,4,0,6.89,6.89
318,Juventus,,Rodrigo Bentancur,0,0,9,1,0,6.89,6.89
319,FK Crvena zvezda,,Marko Marin,0,0,11,9,0,6.88,6.88
320,Lille,,Yusuf Yazıcı,0,2,7,17,0,6.88,6.88
321,Zenit St. Petersburg,,Wílmar Barrios,0,0,6,2,0,6.88,6.88
322,Inter,,Samir Handanović,0,0,2,0,0,6.88,6.88
323,Bayer 04 Leverkusen,,Kerem Demirbay,0,0,8,11,0,6.88,6.88
324,Zenit St. Petersburg,,Yordan Osorio,0,1,3,3,0,6.88,6.88
325,Benfica,,Ferro,0,0,2,1,0,6.88,6.88
326,Manchester City,,João Cancelo,0,0,14,4,0,6.88,6.88
327,RB Leipzig,,Christopher Nkunku,0,1,6,9,0,6.88,6.88
328,Olympique Lyonnais,,Thiago Mendes,0,0,7,5,0,6.87,6.87
329,Paris Saint-Germain,,Sergio Rico,0,0,0,0,0,6.87,6.87
330,AFC Ajax,,Lisandro Martínez,0,0,9,7,0,6.87,6.87
331,Galatasaray,,Jean Michaël Seri,0,0,6,2,0,6.87,6.87
332,Valencia,,Jasper Cillessen,0,0,0,0,0,6.87,6.87
333,Zenit St. Petersburg,,Branislav Ivanović,0,0,1,3,0,6.87,6.87
334,Club Brugge KV,,Simon Deli,0,0,2,5,0,6.87,6.87
335,Napoli,,Fabián Ruiz,0,0,10,10,0,6.86,6.86
336,Red Bull Salzburg,,Enock Mwepu,0,0,6,5,0,6.86,6.86
337,Liverpool,,Joe Gomez,0,0,4,0,0,6.86,6.86
338,Zenit St. Petersburg,,Yury Zhirkov,0,0,0,2,0,6.85,6.85
339,Lokomotiv Moscow,,João Mário,0,1,7,7,0,6.85,6.85
340,Manchester City,,Eric García,0,0,0,0,0,6.85,6.85
341,Borussia Dortmund,,Manuel Akanji,0,0,1,3,0,6.85,6.85
342,Lokomotiv Moscow,,Vedran Ćorluka,0,0,0,1,0,6.85,6.85
343,Olympique Lyonnais,,Jason Denayer,0,0,3,2,0,6.84,6.84
344,GNK Dinamo Zagreb,,Dino Perić,0,0,3,0,0,6.84,6.84
345,Tottenham Hotspur,,Ben Davies,0,0,0,0,0,6.83,6.83
346,Club Brugge KV,,Federico Ricca,0,0,1,1,0,6.83,6.83
347,GNK Dinamo Zagreb,,Emir Dilaver,0,0,0,2,0,6.83,6.83
348,Barcelona,,Ivan Rakitić,0,0,3,9,0,6.83,6.83
349,Napoli,,Mário Rui,0,0,3,2,0,6.83,6.83
350,GNK Dinamo Zagreb,,Kévin Théophile-Catherine,0,0,5,0,0,6.82,6.82
351,Chelsea,,Callum Hudson-Odoi,0,0,10,8,0,6.82,6.82
352,Chelsea,,Marcos Alonso,0,0,3,12,0,6.82,6.82
