#,Clube,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
129,Olympique de Marseille,Leonardo Balerdi,1.0,0.24,0.0,0.0,3.0,33.33,6.98,6.98,Ataque,,,,,,,,,,,,,,
130,Napoli,Matteo Politano,1.0,1.27,0.0,4.0,13.0,7.69,6.97,6.97,Ataque,,,,,,,,,,,,,,
131,Sporting,Nuno Santos,1.0,0.32,0.0,3.0,3.0,33.33,6.97,6.97,Ataque,,,,,,,,,,,,,,
132,Sporting,Paulinho,1.0,0.25,1.0,1.0,2.0,50.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
133,Real Madrid,Éder Militão,1.0,0.48,0.0,3.0,4.0,25.0,6.96,6.96,Ataque,,,,,,,,,,,,,,
134,Sevilla,Isco,1.0,0.66,1.0,7.0,8.0,12.5,6.95,6.95,Ataque,,,,,,,,,,,,,,
135,Eintracht Frankfurt,Faride Alidou,1.0,0.27,0.0,2.0,2.0,50.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
136,Chelsea,Mateo Kovačić,1.0,0.26,0.0,8.0,4.0,25.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
137,Chelsea,Denis Zakaria,1.0,0.13,0.0,0.0,1.0,100.0,6.95,6.95,Ataque,,,,,,,,,,,,,,
138,Napoli,Hirving Lozano,1.0,1.31,1.0,11.0,12.0,8.33,6.94,6.94,Ataque,,,,,,,,,,,,,,
139,Paris Saint-Germain,Carlos Soler,1.0,0.25,0.0,2.0,2.0,50.0,6.93,6.93,Ataque,,,,,,,,,,,,,,
140,Real Madrid,Antonio Rüdiger,1.0,0.27,1.0,0.0,6.0,16.67,6.89,6.89,Ataque,,,,,,,,,,,,,,
141,Club Brugge KV,Bjorn Meijer,1.0,0.36,0.0,2.0,5.0,20.0,6.89,6.89,Ataque,,,,,,,,,,,,,,
142,FC Porto,Mateus Uribe,1.0,1.36,0.0,5.0,10.0,10.0,6.89,6.89,Ataque,,,,,,,,,,,,,,
143,AFC Ajax,Edson Álvarez,1.0,0.86,0.0,1.0,10.0,10.0,6.88,6.88,Ataque,,,,,,,,,,,,,,
144,Bayer 04 Leverkusen,Callum Hudson-Odoi,1.0,0.83,0.0,9.0,8.0,12.5,6.88,6.88,Ataque,,,,,,,,,,,,,,
145,FC Bayern München,Thomas Müller,1.0,1.33,0.0,0.0,9.0,11.11,6.88,6.88,Ataque,,,,,,,,,,,,,,
146,Milan,Ismaël Bennacer,1.0,0.49,0.0,13.0,7.0,14.29,6.87,6.87,Ataque,,,,,,,,,,,,,,
147,Barcelona,Franck Kessié,1.0,0.27,0.0,1.0,3.0,33.33,6.87,6.87,Ataque,,,,,,,,,,,,,,
148,Sevilla,Gonzalo Montiel,1.0,0.15,0.0,1.0,1.0,100.0,6.87,6.87,Ataque,,,,,,,,,,,,,,
149,FC Porto,Zaidu Sanusi,1.0,0.28,0.0,2.0,5.0,20.0,6.86,6.86,Ataque,,,,,,,,,,,,,,
150,Inter,Denzel Dumfries,1.0,1.72,3.0,8.0,11.0,9.09,6.85,6.85,Ataque,,,,,,,,,,,,,,
151,FC København,Hakon Arnar Haraldsson,1.0,0.98,0.0,4.0,8.0,12.5,6.85,6.85,Ataque,,,,,,,,,,,,,,
152,Benfica,Fredrik Aursnes,1.0,0.51,0.0,4.0,6.0,16.67,6.85,6.85,Ataque,,,,,,,,,,,,,,
153,Inter,Robin Gosens,1.0,0.34,0.0,1.0,4.0,25.0,6.85,6.85,Ataque,,,,,,,,,,,,,,
154,Chelsea,Wesley Fofana,1.0,0.32,0.0,2.0,2.0,50.0,6.84,6.84,Ataque,,,,,,,,,,,,,,
155,AFC Ajax,Francisco Conceição,1.0,0.55,0.0,0.0,1.0,100.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
156,Club Brugge KV,Antonio Nusa,1.0,0.26,0.0,4.0,1.0,100.0,6.83,6.83,Ataque,,,,,,,,,,,,,,
157,Paris Saint-Germain,Nuno Mendes,1.0,0.16,0.0,11.0,1.0,100.0,6.82,6.82,Ataque,,,,,,,,,,,,,,
158,FC Porto,Evanilson,1.0,0.85,1.0,2.0,9.0,11.11,6.81,6.81,Ataque,,,,,,,,,,,,,,
159,Red Bull Salzburg,Junior Adamu,1.0,1.31,1.0,1.0,5.0,20.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
160,Real Madrid,Eden Hazard,1.0,0.88,1.0,2.0,2.0,50.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
161,Borussia Dortmund,Thorgan Hazard,1.0,0.25,0.0,1.0,4.0,25.0,6.8,6.8,Ataque,,,,,,,,,,,,,,
162,GNK Dinamo Zagreb,Bruno Petković,1.0,0.48,0.0,3.0,2.0,50.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
163,Shakhtar Donetsk,Lassina Traoré,1.0,0.46,1.0,1.0,5.0,20.0,6.78,6.78,Ataque,,,,,,,,,,,,,,
164,RB Leipzig,Dominik Szoboszlai,1.0,2.18,2.0,5.0,15.0,6.67,6.78,6.78,Ataque,,,,,,,,,,,,,,
165,Eintracht Frankfurt,Jesper Lindstrøm,1.0,0.89,0.0,9.0,11.0,9.09,6.77,6.77,Ataque,,,,,,,,,,,,,,
166,Sevilla,Rafa Mir,1.0,0.48,0.0,0.0,8.0,12.5,6.77,6.77,Ataque,,,,,,,,,,,,,,
167,RB Leipzig,Emil Forsberg,1.0,0.88,0.0,3.0,6.0,16.67,6.75,6.75,Ataque,,,,,,,,,,,,,,
168,Atlético Madrid,Yannick Carrasco,1.0,1.74,1.0,8.0,13.0,7.69,6.73,6.73,Ataque,,,,,,,,,,,,,,
169,Juventus,Leonardo Bonucci,1.0,0.77,0.0,2.0,2.0,50.0,6.73,6.73,Ataque,,,,,,,,,,,,,,
170,Milan,Tommaso Pobega,1.0,0.63,0.0,1.0,7.0,14.29,6.7,6.7,Ataque,,,,,,,,,,,,,,
171,Milan,Rade Krunić,1.0,0.9,2.0,4.0,5.0,20.0,6.69,6.69,Ataque,,,,,,,,,,,,,,
172,Inter,Joaquín Correa,1.0,0.66,2.0,8.0,5.0,20.0,6.69,6.69,Ataque,,,,,,,,,,,,,,
173,Club Brugge KV,Abakar Sylla,1.0,0.05,0.0,4.0,1.0,100.0,6.68,6.68,Ataque,,,,,,,,,,,,,,
174,Juventus,Moise Kean,1.0,1.44,0.0,2.0,4.0,25.0,6.68,6.68,Ataque,,,,,,,,,,,,,,
175,Celtic,Giorgos Giakoumakis,1.0,1.74,2.0,1.0,10.0,10.0,6.67,6.67,Ataque,,,,,,,,,,,,,,
176,Juventus,Dušan Vlahović,1.0,2.64,3.0,0.0,15.0,6.67,6.66,6.66,Ataque,,,,,,,,,,,,,,
177,Viktoria Plzeň,Adam Vlkanova,1.0,0.43,1.0,5.0,10.0,10.0,6.62,6.62,Ataque,,,,,,,,,,,,,,
178,Maccabi Haifa,Dean David,1.0,1.93,2.0,7.0,10.0,10.0,6.62,6.62,Ataque,,,,,,,,,,,,,,
179,Milan,Junior Messias,1.0,0.42,1.0,3.0,6.0,16.67,6.59,6.59,Ataque,,,,,,,,,,,,,,
180,Milan,Brahim Díaz,1.0,1.56,3.0,17.0,11.0,9.09,6.58,6.58,Ataque,,,,,,,,,,,,,,
181,Atlético Madrid,Mario Hermoso,1.0,0.68,1.0,0.0,4.0,25.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
182,Barcelona,Pablo Torre,1.0,0.39,0.0,0.0,1.0,100.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
183,Rangers,Scott Arfield,1.0,0.61,1.0,0.0,5.0,20.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
