#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
321,FC Bayern München,,Javi Martínez,0,0,308,93.33,1,6.94,6.94
322,AFC Ajax,,Sergiño Dest,0,0,182,86.26,6,6.94,6.94
323,RB Leipzig,,Tyler Adams,0,0,61,80.26,0,6.93,6.93
324,AFC Ajax,,Noa Lang,0,0,49,79.03,3,6.93,6.93
325,Real Madrid,,Thibaut Courtois,0,0,153,80.53,0,6.93,6.93
326,RB Leipzig,,Marcel Halstenberg,0,0,320,88.64,6,6.93,6.93
327,Barcelona,,Frenkie de Jong,0,0,502,91.11,3,6.92,6.92
328,Atalanta,,Luis Muriel,0,0,51,78.46,5,6.92,6.92
329,Red Bull Salzburg,,Andreas Ulmer,0,0,154,62.6,8,6.92,6.92
330,Liverpool,,James Milner,0,1,313,86.23,10,6.91,6.91
331,KRC Genk,,Mbwana Ally Samatta,0,0,92,69.7,1,6.90,6.90
332,Benfica,,Haris Seferović,0,0,35,74.47,3,6.90,6.90
333,Olympiacos FC,,Mathieu Valbuena,0,1,59,93.65,4,6.90,6.90
334,Galatasaray,,Adem Büyük,0,0,16,64,0,6.90,6.90
335,Liverpool,,Andrew Robertson,0,0,519,87.08,6,6.90,6.90
336,Manchester City,,John Stones,0,0,19,95,0,6.90,6.90
337,Napoli,,Stanislav Lobotka,0,0,33,86.84,2,6.90,6.90
338,Paris Saint-Germain,,Colin Dagba,0,0,37,86.05,1,6.90,6.90
339,Benfica,,Andreas Samaris,0,0,13,92.86,0,6.90,6.90
340,Juventus,,Mattia De Sciglio,0,0,78,80.41,0,6.90,6.90
341,Club Brugge KV,,Brandon Mechele,0,0,177,89.39,0,6.90,6.90
342,Juventus,,Wojciech Szczęsny,0,0,141,89.24,0,6.90,6.90
343,Borussia Dortmund,,Axel Witsel,0,0,481,94.5,2,6.90,6.90
344,Juventus,,Rodrigo Bentancur,0,0,248,88.26,5,6.89,6.89
