#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
415,Atlético Madrid,,Renan Lodi,1,6,9,2,76.51,
416,Milan,,Rafael Leão,1,10,6,1,71.74,
417,Inter,,Alexis Sánchez,1,4,5,1,78.87,
418,FC Porto,,Mehdi Taremi,1,2,6,1,70.09,
419,Zenit St. Petersburg,,Aleksey Sutormin,1,0,1,0,88.89,
420,VfL Wolfsburg,,Ridle Baku,1,4,10,0,67.11,
421,Villarreal,,Francis Coquelin,1,11,6,0,80.29,
422,Liverpool,,Harvey Elliott,0,0,1,0,74.19,
423,Manchester City,,Scott Carson,0,0,0,0,100,
424,Beşiktaş,,Mert Günok,0,0,0,0,63.16,
425,Manchester United,,Shola Shoretire,0,0,1,0,80,
426,Real Madrid,,Antonio Blanco,0,0,0,0,100,
427,FC Bayern München,,Malik Tillman,0,0,0,0,83.33,
428,Shakhtar Donetsk,,Georgiy Sudakov,0,0,1,0,89.8,
