#,Time,Time,Nome,Gols,Gols esperados (xG),Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
382,Inter,,Kristjan Asllani,0,0.74,1,4,0,89.06,
383,Club Brugge KV,,Denis Odoi,0,0.09,2,11,0,79.51,
384,RB Leipzig,,Emil Forsberg,1,0.88,3,8,0,89.12,
385,RB Leipzig,,Marcel Halstenberg,0,0.02,1,1,1,86.81,
386,GNK Dinamo Zagreb,,Arijan Ademi,0,0.36,1,16,0,82.99,
387,Maccabi Haifa,,Mohammad Abu Fani,0,0.35,7,9,0,87.5,
388,Celtic,,Reo Hatate,0,0.29,3,5,0,77.5,
389,FC Porto,,Pepê,0,0.27,12,14,0,77.04,
390,Olympique de Marseille,,Dimitri Payet,0,0.15,1,1,0,86.54,
391,FC København,,Andreas Cornelius,0,0.13,0,1,0,60,
392,Celtic,,Cameron Carter-Vickers,0,0.11,0,3,0,95.32,
393,Barcelona,,Gerard Piqué,0,0.01,0,3,0,92.56,
394,Olympique de Marseille,,Pape Gueye,0,0,0,1,0,92.16,
395,Inter,,Stefan de Vrij,0,0,0,10,0,84.21,
396,Juventus,,Weston McKennie,2,0.61,2,6,0,78.17,
397,Red Bull Salzburg,,Luka Sučić,0,1.11,6,5,0,77.32,
398,Atlético Madrid,,Matheus Cunha,0,0.61,4,2,0,82.76,
399,GNK Dinamo Zagreb,,Stefan Ristovski,0,0.08,0,6,0,86.96,
400,Rangers,,Allan McGregor,0,0,0,0,0,58.05,
401,Liverpool,,Fabinho,0,0,2,13,0,88.62,
402,Maccabi Haifa,,Abdoulaye Seck,2,0.38,3,7,0,85.16,
403,Atlético Madrid,,Yannick Carrasco,1,1.74,8,7,1,84.67,
404,Juventus,,Leonardo Bonucci,1,0.77,2,2,0,87.54,
405,Celtic,,Josip Juranović,0,0.82,4,12,0,85.09,
406,FC København,,Rasmus Falk Jensen,0,0.09,2,2,0,88.12,
407,Barcelona,,Eric García,0,0,0,4,1,96.28,
408,Red Bull Salzburg,,Bernardo,0,0.22,0,10,0,68.06,
409,Liverpool,,Andrew Robertson,0,0.11,3,2,2,85.65,
410,Maccabi Haifa,,Pierre Cornud,0,0.05,4,11,1,85,
411,Paris Saint-Germain,,Juan Bernat,0,0,0,11,0,91.89,
412,Sevilla,,Joan Jordán,0,0,1,4,0,92.35,
413,FC Porto,,Wendell,0,0.08,2,3,0,87.36,
414,Chelsea,,Conor Gallagher,0,1.46,3,9,0,88.31,
415,Chelsea,,Raheem Sterling,3,1.22,4,8,1,82.19,
416,Borussia Dortmund,,Karim Adeyemi,2,1.79,10,1,0,79.79,
417,Milan,,Tommaso Pobega,1,0.63,1,5,0,66.23,
418,Bayer 04 Leverkusen,,Nadiem Amiri,0,0.15,1,3,1,83.61,
419,Juventus,,Bremer,0,0.39,1,6,0,85.31,
420,Celtic,,Moritz Jenz,0,0.27,0,8,0,93.42,
421,Red Bull Salzburg,,Nicolás Capaldo,0,0.23,0,8,0,59.42,
422,GNK Dinamo Zagreb,,Dario Špikić,0,0.18,6,2,0,81.63,
423,Club Brugge KV,,Eduard Sobol,0,0.12,0,3,0,77.5,
424,Sporting,,Abdul Fatawu Issahaku,0,0.11,1,4,0,80,
425,Barcelona,,Héctor Bellerín,0,0.07,0,4,0,80,
426,Benfica,,Diogo Gonçalves,0,0.04,3,1,0,87.5,
427,Eintracht Frankfurt,,Timothy Chandler,0,0.03,0,0,0,75,
428,Viktoria Plzeň,,Aleš Čermák,0,0.02,0,2,0,85.19,
429,RB Leipzig,,Abdou Diallo,0,0.02,5,4,0,91.98,
430,Red Bull Salzburg,,Lucas Gourna-Douath,0,0.02,1,12,0,77.63,
431,Barcelona,,Marc Casadó,0,0,0,0,0,89.66,
432,Sporting,,Mateus Fernandes,0,0,0,1,0,44.44,
433,Barcelona,,Álvaro Sanz Catalán,0,0,0,0,0,83.33,
434,GNK Dinamo Zagreb,,Rasmus Lauritsen,0,0,0,0,0,0,
435,Celtic,,James McCarthy,0,0,0,0,0,80,
436,Sporting,,Rochinha,0,0,0,0,0,60,
437,Bayer 04 Leverkusen,,Exequiel Palacios,0,0,0,3,0,81.08,
438,Manchester City,,Josh Wilson-Esbrand,0,0,0,1,0,83.33,
439,Benfica,,Morato,0,0,0,0,0,92.52,
440,Juventus,,Mattia De Sciglio,0,0,1,1,0,78.72,
441,AFC Ajax,,Brian Brobbey,0,0,0,0,0,75,
442,Olympique de Marseille,,Pau López,0,0,1,0,0,73.72,
443,Shakhtar Donetsk,,Taras Stepanenko,0,0,0,18,0,86.5,
444,RB Leipzig,,David Raum,0,0,4,13,0,88.89,
445,Milan,,Rade Krunić,1,0.9,4,17,0,83.33,
446,Real Madrid,,Eduardo Camavinga,0,0.26,7,26,1,87.73,
447,Inter,,Joaquín Correa,1,0.66,8,2,2,81.52,
448,Paris Saint-Germain,,Fabián Ruiz,0,0.29,5,5,0,89.45,
449,Club Brugge KV,,Abakar Sylla,1,0.05,4,6,0,88.27,
450,Maccabi Haifa,,Frantzdy Pierrot,0,0.67,1,3,2,73.33,
451,Eintracht Frankfurt,,Sebastian Rode,0,0.18,0,11,1,80.93,
452,Real Madrid,,Lucas Vázquez,0,0,2,4,1,93.98,
453,Juventus,,Danilo,0,0.28,5,7,0,87.04,
454,Olympique de Marseille,,Samuel Gigot,0,0.27,0,0,0,92.77,
455,Chelsea,,Mykhaylo Mudryk,3,1.2,13,7,2,79.08,
456,Juventus,,Moise Kean,1,1.44,2,1,0,75,
457,Eintracht Frankfurt,,Evan Ndicka,0,0.11,0,13,1,84.07,
458,Rangers,,Fashion Sakala,0,0.54,2,4,0,76.19,
459,Red Bull Salzburg,,Dijon Kameri,0,0.18,1,4,0,76.92,
460,Sporting,,Jeremiah St. Juste,0,0.03,0,8,0,88.03,
461,Eintracht Frankfurt,,Mario Götze,0,0.47,4,7,2,78.3,
462,Liverpool,,James Milner,0,0.04,3,11,0,85.42,
463,Benfica,,Odysseas Vlachodimos,0,0,0,0,0,69.68,
464,Celtic,,Giorgos Giakoumakis,1,1.74,1,4,0,61.76,
465,AFC Ajax,,Kenneth Taylor,0,0.54,4,6,1,88.94,
466,Sevilla,,Alex Telles,0,0.18,3,8,1,78.53,
467,FC København,,Lukas Lerager,0,0.69,2,8,0,79.11,
468,GNK Dinamo Zagreb,,Petar Bočkaj,0,0.35,0,1,0,71.43,
469,GNK Dinamo Zagreb,,Sadegh Moharrami,0,0.05,3,9,0,84.08,
470,Liverpool,,Alisson,0,0,1,0,0,87.29,
471,Juventus,,Dušan Vlahović,1,2.64,0,1,1,73.56,
472,Club Brugge KV,,Raphael Onyedika,0,0.63,3,9,0,84.98,
473,Tottenham Hotspur,,Ben Davies,0,0.04,2,7,0,83.56,
474,Benfica,,João Neves,0,0,0,1,1,90.24,
475,Chelsea,,N'Golo Kanté,0,0.64,1,3,0,85.14,
476,FC Porto,,Danny Namaso,0,0.25,3,2,0,86.36,
477,Borussia Dortmund,,Sébastien Haller,0,0.23,1,0,0,68,
478,Sevilla,,Thomas Delaney,0,0.2,0,2,0,77.14,
479,Inter,,Roberto Gagliardini,0,0.07,1,6,0,85.71,
480,Benfica,,Gonçalo Guedes,0,0.04,2,0,0,72.22,
481,Real Madrid,,Andriy Lunin,0,0,0,0,0,94.12,
482,Paris Saint-Germain,,Renato Sanches,0,0,1,3,0,96.23,
483,Manchester City,,Kalvin Phillips,0,0,0,0,0,95.65,
484,Borussia Dortmund,,Youssoufa Moukoko,0,2.06,2,2,1,82.93,
485,Maccabi Haifa,,Nikita Rukavytsya,0,0.12,2,0,0,78.57,
486,RB Leipzig,,Kevin Kampl,0,0,1,8,0,94.54,
487,Maccabi Haifa,,Dolev Haziza,0,0.03,3,7,1,76.92,
488,Olympique de Marseille,,Luis Javier Suárez,0,0.49,0,1,0,67.74,
489,Sevilla,,Suso,0,0.26,1,3,0,85.71,
490,Celtic,,Greg Taylor,0,0.25,2,14,0,85.21,
491,Napoli,,Alessio Zerbin,0,0.2,0,2,0,75.76,
492,Sporting,,Matheus Reis,0,0.13,0,10,0,87.97,
493,Liverpool,,Stefan Bajčetić,0,0.04,1,6,0,78.95,
494,FC Porto,,Bruno Costa,0,0.02,0,2,0,89.47,
495,GNK Dinamo Zagreb,,Marko Bulat,0,0.02,0,2,0,82.61,
496,Shakhtar Donetsk,,Artem Bondarenko,0,0,1,14,0,87.96,
497,Milan,,Divock Origi,0,0.66,2,0,0,73.33,
498,Chelsea,,Hakim Ziyech,0,0.62,4,0,0,83.82,
499,Paris Saint-Germain,,Nordi Mukiele,0,0,0,1,0,78.26,
500,Napoli,,Eljif Elmas,0,0.22,2,8,0,90.17,
501,FC Bayern München,,Mathys Tel,0,0.63,0,1,0,80,
502,Viktoria Plzeň,,Adam Vlkanova,1,0.43,5,5,1,78.15,
503,Maccabi Haifa,,Dean David,1,1.93,7,3,0,56.82,
504,Eintracht Frankfurt,,Ansgar Knauff,0,0.51,8,9,1,62.75,
505,FC København,,Kevin Diks,0,0.52,0,13,0,74.29,
506,Bayer 04 Leverkusen,,Patrik Schick,0,2.51,4,2,0,78.72,
507,Red Bull Salzburg,,Benjamin Šeško,0,1.17,3,3,0,60.92,
508,AFC Ajax,,Devyne Rensch,0,0.53,0,14,0,83.33,
509,Sevilla,,José Ángel Carmona,0,0.46,5,6,0,87.96,
510,Juventus,,Matías Soulé,0,0.43,3,0,0,94.12,
511,Liverpool,,Fabio Carvalho,0,0.19,2,2,0,85.19,
512,FC København,,Davit Khocholava,0,0.09,0,2,0,86.04,
513,Sevilla,,Nemanja Gudelj,0,0.07,0,3,0,90.18,
514,Shakhtar Donetsk,,Oleg Ocheretko,0,0.06,1,2,0,66.67,
515,Milan,,Fikayo Tomori,0,0.06,0,22,0,86.3,
516,Barcelona,,Ronald Araújo,0,0.05,0,1,0,85.19,
517,GNK Dinamo Zagreb,,Mahir Emreli,0,0.02,0,0,0,85.71,
518,Liverpool,,Calvin Ramsay,0,0,0,0,0,100,
519,Sporting,,Jovane Cabral,0,0,0,0,0,83.33,
520,Borussia Dortmund,,Soumaila Coulibaly,0,0,0,0,0,93.33,
521,Club Brugge KV,,Mats Rits,0,0,0,1,0,100,
522,Celtic,,Stephen Welsh,0,0,0,0,0,94.83,
523,Club Brugge KV,,Lynnt Audoor,0,0,0,1,0,50,
524,Bayer 04 Leverkusen,,Sardar Azmoun,0,0,1,0,0,66.67,
525,FC København,,Nicolai Boilesen,0,0,0,0,0,96.43,
526,Paris Saint-Germain,,Warren Zaïre-Emery,0,0,2,2,0,82.86,
527,Tottenham Hotspur,,Yves Bissouma,0,0,0,2,0,90.28,
528,Paris Saint-Germain,,Presnel Kimpembe,0,0,0,2,0,94.9,
529,Eintracht Frankfurt,,Hrvoje Smolčić,0,0,0,1,0,74.51,
530,Milan,,Junior Messias,1,0.42,3,8,0,77.01,
531,Eintracht Frankfurt,,Randal Kolo Muani,2,1.39,6,4,0,68.18,
532,Milan,,Brahim Díaz,1,1.56,17,7,1,85.71,
533,Viktoria Plzeň,,Jhon Mosquera,0,0.36,4,12,1,62.62,
534,FC Porto,,Toni Martínez,0,0.39,1,7,0,55.26,
535,Rangers,,Steven Davis,0,0.07,0,5,0,80.53,
536,GNK Dinamo Zagreb,,Martin Baturina,0,0,0,3,0,82.86,
537,Benfica,,Gilberto,0,0,3,5,0,83.33,
538,Liverpool,,Joe Gomez,0,0.12,0,4,1,81.37,
539,Sevilla,,Marcos Acuña,0,0.09,1,9,1,71.43,
540,Borussia Dortmund,,Marius Wolf,0,0.35,2,3,0,76.71,
541,Sevilla,,Kasper Dolberg,0,0.15,3,0,0,78.95,
542,Rangers,,Connor Goldson,0,0.01,0,6,0,76.16,
543,Viktoria Plzeň,,Erik Jirka,0,0.27,0,2,0,69.12,
544,FC København,,Mohamed Daramy,0,0.1,12,2,0,80,
545,Sporting,,Sotiris Alexandropoulos,0,0.08,0,1,0,78.57,
546,Napoli,,Juan Jesus,0,0,0,3,0,91.33,
547,Sevilla,,Erik Lamela,0,0.48,2,4,0,82.76,
548,Borussia Dortmund,,Anthony Modeste,0,0.58,0,2,0,63.41,
549,Paris Saint-Germain,,Achraf Hakimi,0,0.51,5,9,2,90,
550,Rangers,,Ryan Jack,0,0,1,4,1,82.43,
551,Tottenham Hotspur,,Dejan Kulusevski,0,0.22,2,5,0,82.5,
552,Liverpool,,Curtis Jones,0,0.16,0,2,0,83.72,
553,Viktoria Plzeň,,Modou N'Diaye,0,0.11,3,4,0,75.41,
554,FC København,,Mathew Ryan,0,0,0,0,0,52.54,
555,RB Leipzig,,Lukas Klostermann,0,0,0,3,0,88.89,
556,Sporting,,José Marsà,0,0,0,1,0,88.89,
557,Celtic,,Oliver Abildgaard,0,0,0,4,0,72.73,
558,Napoli,,Gianluca Gaetano,0,0,1,0,0,88.89,
559,Club Brugge KV,,Éder Balanta,0,0,1,0,0,76.47,
560,Chelsea,,Christian Pulišić,0,0.19,1,2,1,83.93,
561,Atlético Madrid,,Álvaro Morata,0,0.99,0,0,0,64.91,
562,Maccabi Haifa,,Dylan Batubinsika,0,0.33,0,8,0,87.88,
563,Barcelona,,Marc-André ter Stegen,0,0,0,0,0,90.71,
564,Atlético Madrid,,Mario Hermoso,1,0.68,0,1,0,93.86,
565,Barcelona,,Pablo Torre,1,0.39,0,2,0,89.74,
566,Celtic,,Kyogo Furuhashi,0,1.71,1,2,1,72.55,
567,Atlético Madrid,,Ángel Correa,0,0.81,4,2,1,84.91,
568,Viktoria Plzeň,,Václav Jemelka,0,0,1,12,1,78.57,
569,AFC Ajax,,Youri Baas,0,0.07,0,2,0,88,
570,Atlético Madrid,,Marcos Llorente,0,0,1,2,0,87.62,
571,Olympique de Marseille,,Gerson,0,0,0,1,0,86.44,
572,Tottenham Hotspur,,Lucas Moura,0,0,2,3,0,62.96,
573,Celtic,,James Forrest,0,0,1,1,0,82.22,
574,Bayer 04 Leverkusen,,Amine Adli,0,0.67,1,3,0,71.19,
575,Eintracht Frankfurt,,Rafael Borré,0,0.46,1,2,0,80.3,
576,Eintracht Frankfurt,,Christopher Lenz,0,0.28,0,6,0,76.19,
577,Milan,,Fodé Ballo-Touré,0,0,1,2,0,86.44,
578,Sporting,,Hidemasa Morita,0,0.05,0,5,1,77.7,
579,FC Porto,,David Carmo,0,0.16,0,5,0,78.67,
580,RB Leipzig,,Yussuf Poulsen,0,0,0,1,0,46.15,
581,Sporting,,Antonio Adán,0,0,0,0,0,66.32,
582,Celtic,,Daizen Maeda,0,1.44,2,7,0,76.92,
583,Rangers,,Scott Arfield,1,0.61,0,4,0,70.24,
584,GNK Dinamo Zagreb,,Robert Ljubičić,1,0.29,7,13,0,75.33,
585,GNK Dinamo Zagreb,,Luka Ivanušec,0,0.92,8,7,0,82.21,
586,Red Bull Salzburg,,Andreas Ulmer,0,0.18,0,7,0,64.18,
587,Viktoria Plzeň,,Fortune Akpan Bassey,0,0.16,0,0,0,81.48,
588,Celtic,,Aaron Mooy,0,0.08,0,0,0,87.1,
589,Shakhtar Donetsk,,Ivan Petriak,0,0.08,0,2,0,76.92,
590,Eintracht Frankfurt,,Kristijan Jakić,0,0.07,2,20,0,79.94,
591,Benfica,,Julian Draxler,0,0.07,1,1,0,86.67,
592,FC Bayern München,,Paul Wanner,0,0.06,1,0,0,88.24,
593,AFC Ajax,,Lucas Ocampos,0,0.05,0,0,0,91.67,
594,Red Bull Salzburg,,Sekou Koita,0,0.04,0,0,0,85.71,
595,Chelsea,,Edouard Mendy,0,0,0,0,0,90.91,
596,Real Madrid,,Mariano Díaz,0,0,0,0,0,50,
597,Tottenham Hotspur,,Arnaut Danjuma,0,0,0,0,0,100,
598,Borussia Dortmund,,Julian Ryerson,0,0,0,0,0,50,
599,Paris Saint-Germain,,El Chadaille Bitshiabu,0,0,0,1,0,96.3,
600,Maccabi Haifa,,Suf Podgoreanu,0,0,1,0,0,0,
601,Rangers,,Jon McLaughlin,0,0,0,0,0,61.54,
602,Red Bull Salzburg,,Roko Šimić,0,0,0,0,0,60,
603,Shakhtar Donetsk,,Serhiy Kryvtsov,0,0,0,0,0,0,
604,Eintracht Frankfurt,,Philipp Max,0,0,0,1,0,80.56,
605,Borussia Dortmund,,Antonios Papadopoulos,0,0,0,0,0,33.33,
606,FC Porto,,Bernardo Folha,0,0,0,1,0,80,
607,Bayer 04 Leverkusen,,Timothy Fosu-Mensah,0,0,0,1,0,80,
608,Borussia Dortmund,,Tom Rothe,0,0,0,0,0,69.05,
609,Shakhtar Donetsk,,Neven Đurasek,0,0,0,1,0,91.67,
610,Rangers,,James Tavernier,1,1.09,3,11,0,67.8,
611,AFC Ajax,,Jurriën Timber,0,0.38,3,4,0,94,
612,Celtic,,Liel Abada,0,0.34,1,1,0,77.08,
613,Shakhtar Donetsk,,Yukhym Konoplia,0,0.04,1,10,0,84,
614,FC København,,Christian Sørensen,0,0.03,0,1,0,80,
615,AFC Ajax,,Jorge Sánchez,0,0.16,3,10,0,83.04,
616,Olympique de Marseille,,Issa Kaboré,0,0.03,0,4,0,95,
617,Sevilla,,Jesús Navas,0,0,1,2,0,80.49,
618,Inter,,Raoul Bellanova,0,0,1,2,0,76.47,
619,Rangers,,Borna Barišić,0,0,0,9,0,89.05,
620,AFC Ajax,,Remko Pasveer,0,0,0,0,0,62.7,
621,Inter,,Danilo D'Ambrosio,0,0.19,1,3,0,85.71,
622,Celtic,,David Turnbull,0,0.13,0,1,0,86.67,
623,Borussia Dortmund,,Donyell Malen,0,0.92,4,1,0,76.92,
624,Bayer 04 Leverkusen,,Paulinho,0,0.31,3,2,0,81.25,
625,Milan,,Sergiño Dest,0,0.29,0,4,0,71.62,
626,FC Porto,,Gonçalo Borges,0,0.05,2,1,0,64.29,
627,Tottenham Hotspur,,Davinson Sánchez,0,0,0,0,0,64.71,
628,Maccabi Haifa,,Raz Meir,0,0,0,4,0,86.67,
629,FC København,,Elias Jelert,0,0,2,4,0,83.1,
630,Eintracht Frankfurt,,Tuta,0,0.11,2,19,0,80,
631,AFC Ajax,,Davy Klaassen,1,0.07,0,0,0,90.77,
632,Milan,,Ante Rebić,0,0.79,3,7,0,63.95,
633,FC Porto,,João Mário,0,0.3,3,8,0,76.62,
634,GNK Dinamo Zagreb,,Josip Drmić,0,0.11,0,0,0,71.43,
635,Viktoria Plzeň,,Jindřich Staněk,0,0,0,0,0,61.29,
636,FC Porto,,Gabriel Veron,0,0,0,1,0,71.43,
637,Viktoria Plzeň,,Mohamed Tijani,0,0,0,2,0,77.46,
638,Shakhtar Donetsk,,Danylo Sikan,0,0.19,0,0,1,92.31,
639,Paris Saint-Germain,,Hugo Ekitiké,0,0.18,0,1,0,78.57,
640,Eintracht Frankfurt,,Luca Pellegrini,0,0.09,3,7,0,75.61,
641,Rangers,,Malik Tillman,0,0.15,5,10,0,70.91,
642,Maccabi Haifa,,Ali Mohamed,0,0,2,11,0,85.59,
643,Viktoria Plzeň,,Milan Havel,0,0.05,2,12,0,74.19,
644,Sporting,,Pedro Gonçalves,0,0.33,2,8,1,73.17,
645,Rangers,,Alfredo Morelos,0,1.58,0,1,0,65.57,
646,Olympique de Marseille,,Sead Kolašinac,0,0.35,1,5,0,86.84,
647,Viktoria Plzeň,,Václav Pilař,0,0.28,2,2,0,73.17,
648,FC Bayern München,,Daley Blind,0,0.22,1,17,0,83.96,
649,Chelsea,,Armando Broja,0,0.1,1,2,0,77.42,
650,Shakhtar Donetsk,,Andrii Totovytskyi,0,0.1,0,0,0,80,
651,Liverpool,,Arthur,0,0.07,0,1,0,84.62,
652,Rangers,,Rabbi Matondo,0,0.07,1,1,0,52.94,
653,Rangers,,Rıdvan Yılmaz,0,0.01,1,1,0,75,
654,Barcelona,,Memphis Depay,0,0,1,0,0,87.5,
655,Club Brugge KV,,Cyle Larin,0,0,0,0,0,100,
656,GNK Dinamo Zagreb,,Antonio Marin,0,0,0,0,0,75,
657,Shakhtar Donetsk,,Dmytro Kryskiv,0,0,0,0,0,100,
658,FC København,,Orri Steinn Óskarsson,0,0,0,0,0,50,
659,Eintracht Frankfurt,,Lucas Alario,0,0,0,0,0,33.33,
660,Benfica,,Rodrigo Pinho,0,0,0,0,0,100,
661,Maccabi Haifa,,Josh Cohen,0,0,0,0,0,68.14,
662,Barcelona,,Ansu Fati,0,0.87,2,1,0,89,
663,Viktoria Plzeň,,Lukáš Hejda,0,0.15,0,8,0,89.02,
664,AFC Ajax,,Florian Grillitsch,0,0,0,1,0,86.84,
665,Sevilla,,Bono,0,0,0,0,0,78.01,
666,Sporting,,Flávio Nazinho,0,0.51,0,3,0,66.67,
667,Maccabi Haifa,,Sean Goldberg,0,0.14,1,10,0,85.5,
668,FC København,,Marko Stamenić,0,0.06,3,3,0,76,
669,Eintracht Frankfurt,,Junior Dina Ebimbe,0,0.14,1,8,0,78.41,
670,Viktoria Plzeň,,Pavel Bucha,0,0.1,4,6,0,87.5,
671,Eintracht Frankfurt,,Aurélio Buta,0,0,0,5,0,62.86,
672,Juventus,,Wojciech Szczęsny,0,0,0,0,0,83.91,
673,Viktoria Plzeň,,Libor Holík,0,0.18,0,5,1,63.04,
674,Club Brugge KV,,Roman Yaremchuk,0,0.5,2,1,0,76.32,
675,Rangers,,Antonio Čolak,0,0.23,0,0,0,65.85,
676,RB Leipzig,,Konrad Laimer,0,0.2,0,10,0,81.61,
677,Rangers,,Scott Wright,0,0,1,3,0,71.43,
678,Olympique de Marseille,,Nuno Tavares,0,0.35,15,11,0,83.86,
679,Viktoria Plzeň,,Jan Sýkora,1,0.49,1,0,0,77.78,
680,Barcelona,,Alejandro Balde,0,0.01,5,0,0,91.74,
681,Celtic,,Alexandro Bernabei,0,0,1,0,0,100,
682,Atlético Madrid,,Ivo Grbić,0,0,0,0,0,60,
683,Rangers,,Alex Lowry,0,0,0,0,0,66.67,
684,Borussia Dortmund,,Jamie Gittens,0,0,0,0,0,70,
685,Juventus,,Federico Gatti,0,0,2,2,0,92.42,
686,Maccabi Haifa,,Arad Ofri,0,0,0,2,0,90.91,
687,Milan,,Charles De Ketelaere,0,0.54,1,2,0,73.91,
688,Rangers,,Ryan Kent,0,0.29,12,6,0,85.32,
689,RB Leipzig,,Benjamin Henrichs,0,0.27,1,5,0,80.52,
690,Juventus,,Fabio Miretti,0,0.35,2,3,0,74.44,
691,Shakhtar Donetsk,,Lucas Taylor,0,0,5,7,0,76.4,
692,FC København,,Roony Bardghji,0,0.32,2,0,0,65.22,
693,Club Brugge KV,,Tajon Buchanan,0,0.36,9,9,1,81.74,
694,Maccabi Haifa,,Mavis Tchibota,0,0.12,1,2,0,62.5,
695,Rangers,,Ben Davies,0,0.09,0,3,0,79.61,
696,Celtic,,Joe Hart,0,0,0,0,0,91.55,
697,Maccabi Haifa,,Sun Menahem,0,0,0,3,0,73.08,
698,Viktoria Plzeň,,Luděk Pernica,0,0.3,0,6,0,86.76,
699,Rangers,,James Sands,0,0.05,0,5,0,84.57,
700,Inter,,Valentín Carboni,0,0,0,0,0,50,
701,Club Brugge KV,,Cisse Sandra,0,0,0,0,0,0,
702,FC København,,Mamoudou Karamoko,0,0,0,0,0,66.67,
703,FC København,,Peter Ankersen,0,0,0,0,0,50,
704,Club Brugge KV,,Clinton Mata,0,0,2,1,0,76.36,
705,Sporting,,Franco Israel,0,0,0,0,0,54.24,
706,Rangers,,John Lundstram,0,0.15,2,6,0,81.82,
707,Rangers,,Leon King,0,0.07,1,10,0,79.27,
708,Atlético Madrid,,Pablo Barrios,0,0,1,0,0,100,
709,Club Brugge KV,,Jack Hendry,0,0,0,1,0,78.57,
710,Viktoria Plzeň,,Jan Kopic,0,0.1,0,1,0,82.35,
711,Sevilla,,Karim Rekik,0,0,0,0,0,97.06,
712,Rangers,,Glen Kamara,0,0,1,0,0,97.5,
713,RB Leipzig,,Péter Gulácsi,0,0,0,0,0,75.93,
714,Sporting,,Ricardo Esgaio,0,0,0,8,0,71.43,
715,Viktoria Plzeň,,Adam Kronus,0,0.12,0,0,0,50,0
716,Benfica,,Andreas Schjelderup,0,0,0,0,0,100,0
717,Juventus,,Enzo Barrenechea,0,0,0,0,0,60,0
718,Club Brugge KV,,Jorne Spileers,0,0,0,0,0,0,0
719,RB Leipzig,,Hugo Novoa Ramos,0,0,0,0,0,75,0
720,Juventus,,Tommaso Barbieri,0,0,0,2,0,80,0
721,Benfica,,Lucas Veríssimo,0,0,0,0,0,75,0
722,FC Porto,,Rodrigo Conceição,0,0,0,1,0,75,0
