#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
262,Maccabi Haifa,,Daniel Sundgren,0,0.02,0,1,1,0,7.03,7.03
263,Bayer 04 Leverkusen,,Edmond Tapsoba,0,0.07,0,0,3,0,7.02,7.02
264,Borussia Dortmund,,Niklas Süle,0,0.15,0,2,3,0,7.01,7.01
265,Chelsea,,Trevoh Chalobah,0,0.62,0,1,6,0,7.00,7.00
266,Paris Saint-Germain,,Sergio Ramos,0,0.3,0,3,6,0,7.00,7.00
267,FC København,,William Clem,0,0.17,0,0,3,0,7.00,7.00
268,GNK Dinamo Zagreb,,Josip Mišić,0,0.13,0,2,5,0,7.00,7.00
269,Sporting,,Luís Neto,0,0.09,0,0,1,0,7.00,7.00
270,FC København,,Zeca,0,0.05,0,3,2,0,7.00,7.00
271,Manchester City,,Stefan Ortega,0,0,0,0,0,0,7.00,7.00
272,Atlético Madrid,,Jan Oblak,0,0,0,0,0,0,7.00,7.00
273,RB Leipzig,,Janis Blaswich,0,0,0,0,0,0,7.00,7.00
274,FC København,,Viktor Claesson,0,0.47,1,4,7,0,6.98,6.98
275,Red Bull Salzburg,,Maurits Kjaergaard,0,0.63,0,3,9,0,6.98,6.98
276,GNK Dinamo Zagreb,,Dominik Livaković,0,0,0,0,0,0,6.98,6.98
277,Club Brugge KV,,Noa Lang,0,0.85,1,19,3,0,6.98,6.98
278,Red Bull Salzburg,,Oumar Solet,0,0.07,0,2,2,0,6.98,6.98
279,Real Madrid,,Nacho Fernández,0,0.02,0,1,1,0,6.97,6.97
280,FC Bayern München,,Dayot Upamecano,0,0,0,4,0,0,6.97,6.97
281,Napoli,,Mário Rui,0,0.37,0,3,6,0,6.97,6.97
282,FC Bayern München,,Marcel Sabitzer,0,0.58,1,1,10,0,6.97,6.97
283,Milan,,Davide Calabria,0,0.18,0,2,3,0,6.97,6.97
284,RB Leipzig,,Dani Olmo,0,0.11,0,1,2,0,6.97,6.97
285,Bayer 04 Leverkusen,,Charles Aránguiz,0,0.06,0,0,1,0,6.97,6.97
286,Liverpool,,Ibrahima Konaté,0,0.03,0,1,1,0,6.97,6.97
287,Manchester City,,Kyle Walker,0,0.03,0,4,1,0,6.96,6.96
288,Inter,,Francesco Acerbi,0,0.45,0,1,8,0,6.96,6.96
289,Real Madrid,,Daniel Carvajal,0,0.17,0,0,2,0,6.95,6.95
290,Liverpool,,Diogo Jota,0,0.84,0,2,7,0,6.95,6.95
291,Shakhtar Donetsk,,Georgiy Sudakov,0,0.07,0,6,2,0,6.95,6.95
292,Sevilla,,Ivan Rakitić,0,0.23,0,1,5,0,6.95,6.95
293,Bayer 04 Leverkusen,,Mitchel Bakker,0,0.41,1,5,6,0,6.95,6.95
294,Inter,,Milan Škriniar,0,0.14,1,0,2,0,6.95,6.95
295,Sevilla,,Kike Salas,0,0.04,0,1,1,0,6.95,6.95
296,Red Bull Salzburg,,Philipp Köhn,0,0,0,0,0,0,6.95,6.95
297,Club Brugge KV,,Brandon Mechele,0,0,0,0,0,0,6.95,6.95
298,Chelsea,,Mason Mount,0,0.8,1,5,14,0,6.94,6.94
299,Tottenham Hotspur,,Emerson Royal,0,0.5,1,2,8,0,6.94,6.94
300,Shakhtar Donetsk,,Valeriy Bondar,0,0.18,0,1,1,0,6.93,6.93
301,Milan,,Theo Hernández,0,0.5,0,7,10,0,6.93,6.93
302,Borussia Dortmund,,Nico Schlotterbeck,0,0.04,0,5,2,0,6.93,6.93
303,Barcelona,,Pedri,0,0.94,3,9,6,0,6.92,6.92
304,FC Bayern München,,Noussair Mazraoui,0,0.23,0,6,4,0,6.92,6.92
305,Napoli,,Stanislav Lobotka,0,0.1,0,6,3,0,6.92,6.92
306,Olympique de Marseille,,Eric Bailly,0,0,0,1,1,0,6.92,6.92
307,Borussia Dortmund,,Alexander Meyer,0,0,0,0,0,0,6.92,6.92
308,Red Bull Salzburg,,Strahinja Pavlović,0,0.28,1,3,3,0,6.92,6.92
309,Celtic,,Sead Hakšabanović,0,0.15,0,3,2,0,6.92,6.92
310,Paris Saint-Germain,,Danilo Pereira,0,0.04,0,4,1,0,6.92,6.92
311,Benfica,,Florentino Luís,0,0.36,0,3,5,0,6.91,6.91
312,Milan,,Pierre Kalulu,0,0.04,0,2,2,0,6.91,6.91
313,Red Bull Salzburg,,Maximilian Wöber,0,0.05,0,0,2,0,6.90,6.90
314,AFC Ajax,,Owen Wijndal,0,0,0,0,0,0,6.90,6.90
315,Atlético Madrid,,José María Giménez,0,0.51,1,0,4,0,6.90,6.90
316,RB Leipzig,,Amadou Haidara,0,0.35,0,2,6,0,6.90,6.90
317,Chelsea,,Marc Cucurella,0,0.33,1,1,1,0,6.90,6.90
318,FC København,,Denis Vavro,0,0.19,0,1,3,0,6.90,6.90
319,Borussia Dortmund,,Emre Can,0,0.15,0,5,6,0,6.90,6.90
320,Bayer 04 Leverkusen,,Jonathan Tah,0,0.07,0,0,1,0,6.90,6.90
321,Barcelona,,Gavi,0,0.06,0,3,2,0,6.90,6.90
322,GNK Dinamo Zagreb,,Kévin Théophile-Catherine,0,0.03,0,0,1,0,6.90,6.90
323,Real Madrid,,Jesús Vallejo,0,0,0,0,0,0,6.90,6.90
324,Shakhtar Donetsk,,Mykola Matviyenko,0,0,0,1,0,0,6.90,6.90
325,GNK Dinamo Zagreb,,Josip Šutalo,0,0.13,0,3,1,0,6.88,6.88
326,Juventus,,Manuel Locatelli,0,0.47,0,1,8,0,6.88,6.88
