#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
201,Barcelona,,Raphinha,8,4,3,0,7.18,7.18
202,Chelsea,,Thiago Silva,8,9,32,0,7.16,7.16
203,Napoli,,Tanguy Ndombélé,8,5,1,0,7.16,7.16
204,Liverpool,,Joël Matip,8,3,3,0,7.10,7.10
205,Liverpool,,Roberto Firmino,8,6,2,0,7.00,7.00
206,Chelsea,,Trevoh Chalobah,8,5,17,0,7.00,7.00
207,FC Bayern München,,Serge Gnabry,8,0,2,0,6.99,6.99
208,Liverpool,,Harvey Elliott,8,5,4,0,6.94,6.94
209,Bayer 04 Leverkusen,,Jonathan Tah,8,2,25,0,6.90,6.90
210,Bayer 04 Leverkusen,,Jeremie Frimpong,8,5,7,0,6.80,6.80
211,Real Madrid,,David Alaba,8,7,12,0,6.80,6.80
212,Barcelona,,Sergio Busquets,8,4,2,0,6.80,6.80
213,Sporting,,Sebastián Coates,8,6,18,0,6.80,6.80
214,Tottenham Hotspur,,Oliver Skipp,8,2,4,0,6.80,6.80
215,Borussia Dortmund,,Salih Özcan,8,12,7,0,6.79,6.79
216,GNK Dinamo Zagreb,,Bruno Petković,8,2,6,0,6.78,6.78
217,RB Leipzig,,Dominik Szoboszlai,8,1,4,0,6.78,6.78
218,Paris Saint-Germain,,Vitinha,8,13,0,0,6.78,6.78
219,Juventus,,Filip Kostić,8,0,4,0,6.77,6.77
220,RB Leipzig,,Emil Forsberg,8,1,0,0,6.75,6.75
221,Chelsea,,Raheem Sterling,8,0,1,0,6.71,6.71
222,Celtic,,Moritz Jenz,8,8,15,0,6.70,6.70
223,Red Bull Salzburg,,Nicolás Capaldo,8,4,8,0,6.70,6.70
224,Sporting,,Jeremiah St. Juste,8,7,6,0,6.68,6.68
225,Sevilla,,Alex Telles,8,4,9,1,6.67,6.67
226,FC København,,Lukas Lerager,8,14,5,0,6.67,6.67
227,RB Leipzig,,Kevin Kampl,8,3,2,0,6.64,6.64
228,Napoli,,Eljif Elmas,8,0,2,0,6.62,6.62
229,Milan,,Junior Messias,8,3,1,0,6.59,6.59
230,Maccabi Haifa,,Dylan Batubinsika,8,10,14,0,6.54,6.54
231,FC Porto,,João Mário,8,3,4,0,6.44,6.44
232,Sporting,,Pedro Gonçalves,8,3,0,0,6.40,6.40
233,Viktoria Plzeň,,Lukáš Hejda,8,7,22,0,6.38,6.38
234,Eintracht Frankfurt,,Junior Dina Ebimbe,8,1,4,0,6.36,6.36
235,Sporting,,Ricardo Esgaio,8,0,1,0,4.65,4.65
236,Real Madrid,,Rodrygo,7,9,6,0,7.26,7.26
237,Atlético Madrid,,Antoine Griezmann,7,2,1,0,7.23,7.23
238,FC Bayern München,,Eric Maxim Choupo-Moting,7,1,2,0,7.23,7.23
239,Borussia Dortmund,,Raphaël Guerreiro,7,10,10,0,7.17,7.17
240,Olympique de Marseille,,Alexis Sánchez,7,0,0,0,7.14,7.14
241,FC Porto,,Fábio Cardoso,7,3,15,0,7.10,7.10
242,Sevilla,,Marcão,7,1,9,0,7.10,7.10
243,Liverpool,,Jordan Henderson,7,3,1,0,7.08,7.08
244,Borussia Dortmund,,Julian Brandt,7,2,4,0,7.07,7.07
245,Maccabi Haifa,,Omer Atzili,7,3,1,0,7.05,7.05
246,Milan,,Olivier Giroud,7,2,15,0,6.99,6.99
247,Club Brugge KV,,Noa Lang,7,0,1,0,6.98,6.98
248,Sporting,,Nuno Santos,7,2,6,0,6.97,6.97
249,Shakhtar Donetsk,,Valeriy Bondar,7,7,30,0,6.93,6.93
250,Barcelona,,Pedri,7,5,1,0,6.92,6.92
251,Barcelona,,Gavi,7,5,1,0,6.90,6.90
252,FC Porto,,Pepe,7,6,15,0,6.85,6.85
253,Tottenham Hotspur,,Eric Dier,7,8,23,1,6.83,6.83
254,Bayer 04 Leverkusen,,Kerem Demirbay,7,3,1,0,6.82,6.82
255,Chelsea,,César Azpilicueta,7,3,6,1,6.82,6.82
256,Atlético Madrid,,Nahuel Molina,7,1,4,0,6.82,6.82
257,Chelsea,,Ruben Loftus-Cheek,7,7,3,0,6.81,6.81
258,Barcelona,,Jules Koundé,7,3,2,0,6.80,6.80
259,Milan,,Alexis Saelemaekers,7,4,5,0,6.79,6.79
260,Shakhtar Donetsk,,Bogdan Mykhaylichenko,7,7,15,0,6.78,6.78
261,Shakhtar Donetsk,,Oleksandr Zubkov,7,4,3,0,6.76,6.76
262,Maccabi Haifa,,Abdoulaye Seck,7,4,18,0,6.73,6.73
263,Atlético Madrid,,Yannick Carrasco,7,1,1,0,6.73,6.73
264,Juventus,,Danilo,7,7,10,0,6.68,6.68
265,Chelsea,,Mykhaylo Mudryk,7,1,2,0,6.68,6.68
266,Eintracht Frankfurt,,Mario Götze,7,3,2,0,6.67,6.67
267,Tottenham Hotspur,,Ben Davies,7,5,11,0,6.66,6.66
268,Maccabi Haifa,,Dolev Haziza,7,2,3,0,6.63,6.63
269,Milan,,Brahim Díaz,7,6,0,0,6.58,6.58
270,FC Porto,,Toni Martínez,7,0,0,0,6.58,6.58
271,Celtic,,Daizen Maeda,7,7,1,0,6.52,6.52
272,GNK Dinamo Zagreb,,Luka Ivanušec,7,6,1,0,6.50,6.50
273,Red Bull Salzburg,,Andreas Ulmer,7,4,10,0,6.50,6.50
274,Milan,,Ante Rebić,7,1,0,0,6.44,6.44
275,Eintracht Frankfurt,,Luca Pellegrini,7,3,4,0,6.43,6.43
276,Shakhtar Donetsk,,Lucas Taylor,7,3,13,0,6.26,6.26
277,Shakhtar Donetsk,,Marian Shved,6,4,1,0,7.20,7.20
278,Liverpool,,Cody Gakpo,6,1,1,0,7.10,7.10
279,RB Leipzig,,André Silva,6,1,1,0,7.06,7.06
280,Milan,,Simon Kjær,6,6,24,0,7.05,7.05
281,RB Leipzig,,Christopher Nkunku,6,4,3,0,7.04,7.04
282,Atlético Madrid,,Axel Witsel,6,3,8,0,7.03,7.03
283,Chelsea,,Kai Havertz,6,1,4,0,7.02,7.02
284,Bayer 04 Leverkusen,,Edmond Tapsoba,6,4,18,0,7.02,7.02
285,Napoli,,Mário Rui,6,7,3,0,6.97,6.97
286,Liverpool,,Ibrahima Konaté,6,1,10,0,6.97,6.97
287,Sevilla,,Isco,6,5,1,0,6.95,6.95
288,Olympique de Marseille,,Eric Bailly,6,15,8,0,6.92,6.92
289,Atlético Madrid,,José María Giménez,6,6,19,0,6.90,6.90
290,Barcelona,,Franck Kessié,6,2,0,0,6.87,6.87
291,AFC Ajax,,Dušan Tadić,6,0,5,0,6.82,6.82
292,Olympique de Marseille,,Jonathan Clauss,6,5,2,0,6.82,6.82
293,FC Bayern München,,Ryan Gravenberch,6,3,3,0,6.77,6.77
294,Juventus,,Weston McKennie,6,5,3,0,6.74,6.74
295,GNK Dinamo Zagreb,,Stefan Ristovski,6,6,7,0,6.74,6.74
296,Juventus,,Bremer,6,5,12,0,6.70,6.70
297,Club Brugge KV,,Abakar Sylla,6,7,17,1,6.68,6.68
298,AFC Ajax,,Kenneth Taylor,6,4,3,0,6.67,6.67
299,Inter,,Roberto Gagliardini,6,2,1,0,6.65,6.65
300,Liverpool,,Stefan Bajčetić,6,1,0,0,6.63,6.63
301,Sevilla,,José Ángel Carmona,6,3,9,1,6.60,6.60
302,Rangers,,Connor Goldson,6,5,19,0,6.58,6.58
303,Eintracht Frankfurt,,Christopher Lenz,6,4,3,0,6.53,6.53
304,Viktoria Plzeň,,Pavel Bucha,6,2,2,0,6.36,6.36
305,Rangers,,Ryan Kent,6,1,0,0,6.28,6.28
306,Viktoria Plzeň,,Luděk Pernica,6,3,20,0,6.22,6.22
307,Rangers,,John Lundstram,6,9,11,0,6.14,6.14
308,Barcelona,,Robert Lewandowski,5,1,6,0,7.98,7.98
309,Liverpool,,Konstantinos Tsimikas,5,2,4,0,7.45,7.45
310,Tottenham Hotspur,,Pape Matar Sarr,5,1,0,0,7.40,7.40
311,Napoli,,Victor Osimhen,5,1,7,0,7.35,7.35
312,FC Bayern München,,Matthijs de Ligt,5,10,20,0,7.17,7.17
313,Barcelona,,Marcos Alonso,5,6,15,0,7.16,7.16
314,Manchester City,,Phil Foden,5,5,0,0,7.14,7.14
315,Barcelona,,Sergi Roberto,5,4,1,0,7.13,7.13
316,Manchester City,,Julián Álvarez,5,2,1,0,7.07,7.07
317,FC Porto,,Marko Grujić,5,4,10,0,7.03,7.03
318,Borussia Dortmund,,Niklas Süle,5,6,24,0,7.01,7.01
319,FC København,,William Clem,5,4,0,0,7.00,7.00
320,Red Bull Salzburg,,Oumar Solet,5,3,13,0,6.98,6.98
321,Sevilla,,Kike Salas,5,1,3,0,6.95,6.95
322,GNK Dinamo Zagreb,,Mislav Oršić,5,2,0,0,6.93,6.93
323,Celtic,,Sead Hakšabanović,5,2,1,0,6.92,6.92
324,Sevilla,,Gonzalo Montiel,5,4,6,0,6.87,6.87
325,Sporting,,Francisco Trincão,5,2,2,0,6.85,6.85
326,FC København,,Hakon Arnar Haraldsson,5,0,1,0,6.85,6.85
327,FC København,,Valdemar Lund,5,5,5,0,6.80,6.80
328,Club Brugge KV,,Hans Vanaken,5,4,10,0,6.78,6.78
329,Paris Saint-Germain,,Marquinhos,5,3,20,0,6.78,6.78
330,Celtic,,Reo Hatate,5,3,5,0,6.75,6.75
331,Red Bull Salzburg,,Luka Sučić,5,4,3,0,6.74,6.74
332,Milan,,Tommaso Pobega,5,0,1,0,6.70,6.70
333,Paris Saint-Germain,,Fabián Ruiz,5,1,4,0,6.69,6.69
334,Viktoria Plzeň,,Adam Vlkanova,5,2,5,0,6.62,6.62
335,Rangers,,Steven Davis,5,2,3,0,6.58,6.58
336,Benfica,,Gilberto,5,6,5,0,6.58,6.58
337,Tottenham Hotspur,,Dejan Kulusevski,5,1,0,0,6.55,6.55
338,Sporting,,Hidemasa Morita,5,2,3,0,6.52,6.52
339,FC Porto,,David Carmo,5,4,16,0,6.52,6.52
340,Olympique de Marseille,,Sead Kolašinac,5,1,3,0,6.40,6.40
341,Eintracht Frankfurt,,Aurélio Buta,5,1,3,0,6.35,6.35
342,Viktoria Plzeň,,Libor Holík,5,4,10,0,6.33,6.33
343,RB Leipzig,,Benjamin Henrichs,5,3,4,0,6.28,6.28
344,Rangers,,James Sands,5,4,9,0,6.20,6.20
345,Paris Saint-Germain,,Lionel Messi,4,3,0,0,7.93,7.93
346,Atlético Madrid,,Felipe,4,1,5,0,7.70,7.70
347,Napoli,,Giacomo Raspadori,4,2,1,0,7.40,7.40
348,AFC Ajax,,Mohammed Kudus,4,5,3,0,7.22,7.22
349,Liverpool,,Luis Díaz,4,0,0,0,7.17,7.17
350,Real Madrid,,Luka Modrić,4,7,7,0,7.07,7.07
351,Inter,,Edin Džeko,4,0,16,0,7.05,7.05
352,Club Brugge KV,,Andreas Skov Olsen,4,0,3,0,7.04,7.04
353,Atlético Madrid,,Rodrigo de Paul,4,3,2,0,7.04,7.04
354,Bayer 04 Leverkusen,,Moussa Diaby,4,0,0,0,7.03,7.03
355,Borussia Dortmund,,Marco Reus,4,3,1,0,7.03,7.03
356,Barcelona,,Andreas Christensen,4,3,4,0,7.03,7.03
357,Olympique de Marseille,,Mattéo Guendouzi,4,6,1,0,7.02,7.02
358,FC København,,Zeca,4,3,1,0,7.00,7.00
359,RB Leipzig,,Dani Olmo,4,0,0,0,6.97,6.97
360,Bayer 04 Leverkusen,,Charles Aránguiz,4,2,3,0,6.97,6.97
361,Eintracht Frankfurt,,Faride Alidou,4,1,0,0,6.95,6.95
362,Paris Saint-Germain,,Carlos Soler,4,3,1,0,6.93,6.93
363,Manchester City,,Sergio Gómez,4,2,2,0,6.88,6.88
364,FC Bayern München,,Thomas Müller,4,2,2,0,6.88,6.88
365,Barcelona,,Frenkie de Jong,4,3,2,0,6.88,6.88
366,Liverpool,,Virgil van Dijk,4,4,22,0,6.85,6.85
367,FC Porto,,Evanilson,4,1,4,0,6.81,6.81
368,Chelsea,,João Félix,4,0,0,0,6.79,6.79
369,Real Madrid,,Dani Ceballos,4,0,0,0,6.79,6.79
370,Red Bull Salzburg,,Noah Okafor,4,0,0,0,6.78,6.78
371,FC København,,Ísak Bergmann Jóhannesson,4,2,3,0,6.78,6.78
372,Eintracht Frankfurt,,Jesper Lindstrøm,4,2,1,0,6.77,6.77
373,FC Bayern München,,Jamal Musiala,4,6,1,0,6.77,6.77
374,Sporting,,Gonçalo Inácio,4,5,21,0,6.77,6.77
375,Inter,,Kristjan Asllani,4,2,5,0,6.76,6.76
376,Barcelona,,Eric García,4,4,5,0,6.73,6.73
377,Sevilla,,Joan Jordán,4,4,2,0,6.72,6.72
378,Sporting,,Abdul Fatawu Issahaku,4,0,2,0,6.70,6.70
379,Barcelona,,Héctor Bellerín,4,1,1,0,6.70,6.70
380,RB Leipzig,,Abdou Diallo,4,1,4,0,6.70,6.70
381,Real Madrid,,Lucas Vázquez,4,3,4,0,6.68,6.68
382,Rangers,,Fashion Sakala,4,2,1,0,6.68,6.68
383,Red Bull Salzburg,,Dijon Kameri,4,1,0,0,6.68,6.68
